7.Variable; Main_ChangeMaster.fbChangeMasterDrive6._uiActiveMaster
7.Address.AddrFlags; 0x00000000
7.Class; 11
7.Size; 2
7.GraphColor; 4294902015
7.GraphType; 1
7.MinWarningColor; 4278190080
7.MaxWarningColor; 4294901760
7.CriticalLowerLimit; 0
7.CriticalUpperLimit; 0
7.ActivateMinWarning; 0
7.ActivateMaxWarning; 0
7.YAxis; 0
7.Data; 
; 18504866; 3
; 18509861; 3
; 18514857; 3
; 18519857; 3
; 18524866; 3
; 18529860; 3
; 18534857; 3
; 18539867; 3
; 18544878; 3
; 18549861; 3
; 18554857; 3
; 18559861; 3
; 18564874; 3
; 18569863; 3
; 18574860; 3
; 18579861; 3
; 18584877; 3
; 18589862; 3
; 18594858; 3
; 18599855; 3
; 18604872; 3
; 18609860; 3
; 18614863; 3
; 18619864; 3
; 18624863; 3
; 18629859; 3
; 18634861; 3
; 18639862; 3
; 18644865; 3
; 18649862; 3
; 18654861; 3
; 18659861; 3
; 18664871; 3
; 18669860; 3
; 18674863; 3
; 18679863; 3
; 18684866; 3
; 18689858; 3
; 18694855; 3
; 18699857; 3
; 18704868; 3
; 18709911; 3
; 18714863; 3
; 18719862; 3
; 18724866; 3
; 18729864; 3
; 18734862; 3
; 18739889; 3
; 18744879; 3
; 18749861; 3
; 18754862; 3
; 18759864; 3
; 18764878; 3
; 18769860; 3
; 18774864; 3
; 18779862; 3
; 18784868; 3
; 18789859; 3
; 18794864; 3
; 18799860; 3
; 18804873; 3
; 18809859; 3
; 18814862; 3
; 18819860; 3
; 18824863; 3
; 18829858; 3
; 18834862; 3
; 18839861; 3
; 18844866; 3
; 18849859; 3
; 18854860; 3
; 18859863; 3
; 18864867; 3
; 18869858; 3
; 18874862; 3
; 18879863; 3
; 18884866; 3
; 18889857; 3
; 18894863; 3
; 18899857; 3
; 18904865; 3
; 18909873; 3
; 18914863; 3
; 18919862; 3
; 18924867; 3
; 18929860; 3
; 18934865; 3
; 18939863; 3
; 18944868; 3
